siteID,date,observer,number,startTime,endTime,pathDistance
BROWANNDC1,2016-07-02,JLM,1,11:15,11:31,1180
BROWANNDC1,2016-04-28,ERF,1,00:01,NA:NA,-99999
SURNSANMA1,2016-07-04,TMB,1,12:31,13:37,1940
WALSMELMA1,2016-07-05,TMB,1,12:18,13:27,2210
PHARAIMMD1,2016-07-06,"KJW,MAR",1,10:37,11:38,1700
MURPELEMA1,2016-07-06,TMB,1,12:13,13:26,1870
TANGLAUDC1,2016-07-07,JLM,1,11:17,12:02,2900
HULLJEFVA1,2016-07-07,KPK,1,11:12,12:19,2130
VONGJENMD1,2016-07-07,"KJW,MAR",1,11:33,12:34,1900
REUTSHAMD1,2016-07-08,JLM,1,11:04,11:36,1840
LINDHANMD1,2016-07-08,KPK,1,11:24,12:27,2130
SPEAMARNC1,2016-07-07,ELB,1,09:50,10:55,-99999
KARALIZNC1,2016-07-08,ELB,1,11:40,12:42,-99999
BACHMARNC1,2016-06-11,"ELB, LM",1,11:34,12:30,-99999
SANFTIFNC1,2016-06-14,ELB,1,11:40,12:42,-99999
GLORPETNC1,2016-06-21,ELB,1,11:33,12:30,-99999
SORECLYNC1,2016-06-22,ELB,1,11:29,12:22,-99999
YOUNKIMVA1,2016-07-10,KJW,1,11:25,12:26,1700
LANETARNC1,2016-06-25,"ELB, TM, EAL",1,11:25,12:15,-99999
FERNKARNC1,2016-06-28,ELB,1,10:30,11:23,-99999
BAILPATNC1,2016-06-29,noData,1,11:37,12:35,-99999
WILLCAINC1,2016-07-02,ELB,1,11:31,12:15,-99999
COLLJUDNC1,2016-07-06,ELB,1,11:27,12:32,-99999
PICKADANC1,2016-07-07,ELB,1,11:31,12:37,-99999
HAGACOUNC1,2016-07-08,ELB,1,07:50,08:50,-99999
YOUNLINMA1,2016-07-08,TMB,1,11:45,12:51,1670
MIRKJOEMA1,2016-07-09,TMB,1,11:37,12:49,2110
CANNANNMA1,2016-06-21,"SMB,TMB",1,12:08,13:24,1510
DELUBILMA1,2016-06-10,SMB,1,12:43,13:50,2382
STEPJANMA1,2016-07-10,"BSE,SBL",1,00:01,NA:NA,-99999
CAMPGLOMD1,2016-07-14,JLM,1,11:07,11:57,2270
GRIFRACMA1,2016-07-11,"BSE,SBL",1,00:01,NA:NA,-99999
KEATELINC1,2016-06-04,AJB,1,11:23,12:29,-99999
HOROBONVA1,2016-07-19,KPK,1,07:18,08:20,1400
ASSMCARMD1,2016-07-08,"KJW,MAR",1,11:47,12:48,2000
CAUSSUSMD1,2016-07-05,"KJW,MAR",1,11:10,12:11,1600
CLARCOLDC1,2016-06-12,DLN/MAR,1,09:22,10:25,-99999
CRONCHRVA2,2016-07-08,"DLN,VEM",1,11:04,12:01,3100
GIRLSINMA1,2016-07-01,"SBL, TMB",1,00:01,NA:NA,-99999
EGANMARMD1,2016-06-28,"DLN, MAR",1,11:15,12:15,2310
DOYLPHIMA1,2016-07-08,"BSE,SBL",1,00:01,NA:NA,-99999
REIDLOLMA1,2016-06-08,TMB,1,12:00,13:08,2100
JENSKEINC1,2016-04-30,"KFJ,JIC",1,00:01,NA:NA,-99999
GILLESMA1,2016-05-23,"SBL, SMB, TMB",1,00:01,NA:NA,-99999
HIGGBETMA1,2016-05-16,"SMB, SLG",1,11:17,12:30,1880
JACOSUSFL1,2016-05-24,ZZ,1,07:00,07:45,-99999
CRAIJOSNC1,2016-06-04,ELB,1,11:58,12:39,-99999
SPEAMARNC2,2016-06-07,ELB,1,09:50,10:55,-99999
BUDNNORNC1,2016-06-12,ELB,1,11:30,12:24,-99999
FOSTSTENC1,2016-06-14,ELB,1,11:35,12:29,-99999
FOSTSTENC1,2016-10-28,ELB,1,11:35,12:29,-99999
COTTVANNC1,2016-06-23,ELB,1,11:34,12:34,-99999
