siteID,date,observer,time,forayNumber,bandNumber,longitude,latitude,resightType,notes
CIBUJEAFL1,2016-04-27,ZZ,7:15,noData,2531-99350,NA,NA,T,NA
CIBUJEAFL1,2016-04-27,ZZ,8:20,noData,2541-40452,NA,NA,T,NA
COLLKEIFL1,2016-04-25,ZZ,NA,noData,2541-40414,NA,NA,T,NA
COLLKEIFL1,2016-04-25,ZZ,NA,noData,2331-09342,NA,NA,T,NA
COXANDFL1,2016-05-02,ZZ,8:10,noData,2661-07855,NA,NA,T,NA
DOUGSANFL1,2016-09-28,ZZ,7:10,1,2571-70413,NA,NA,F,NA
DUFFSHAFL1,2016-03-22,ZZ,NA,noData,2331-09358,NA,NA,T,NA
DUFFSHAFL1,2016-03-22,ZZ,NA,noData,2331-09359,NA,NA,T,NA
ENNEBECFL1,2016-06-19,ZZ,8:20,1,1991-18052,NA,NA,F,NA
FLAGMARFL1,2016-04-11,ZZ,NA,noData,2661-07704,NA,NA,T,NA
FULLPAMFL1,2016-05-25,ZZ,8:15,noData,2541-40441,NA,NA,T,NA
GOWAJOAFL1,2016-03-23,ZZ,NA,noData,2331-09163,NA,NA,T,NA
GOWAJOAFL1,2016-03-23,ZZ,NA,noData,2661-07793,NA,NA,T,NA
GOWAJOAFL1,2016-03-24,ZZ,NA,noData,2661-07664,NA,NA,T,NA
GRANIANFL1,2016-05-27,ZZ,7:15,noData,2710-54221,NA,NA,T,NA
GRANIANFL1,2016-05-27,ZZ,7:15,noData,2541-40456,NA,NA,T,NA
GRANIANFL1,2016-05-27,ZZ,7:45,noData,2571-70429,NA,NA,T,NA
GRANIANFL1,2016-05-27,ZZ,8:50,noData,2541-40464,NA,NA,T,NA
HERRJAYFL1,2016-04-01,ZZ,NA,noData,2661-07896,NA,NA,T,NA
HERRJAYFL1,2016-04-01,ZZ,NA,noData,2641-96632,NA,NA,T,NA
HERRJAYFL1,2016-04-01,ZZ,NA,noData,2641-96633,NA,NA,T,NA
HOSTMARFL1,2016-05-09,ZZ,NA,noData,2641-96641,NA,NA,T,NA
HOSTMARFL1,2016-05-09,ZZ,NA,noData,2641-96640,NA,NA,T,NA
JACOSUSFL1,2016-06-17,ZZ,6:40,1,2541-37501,NA,NA,F,NA
JACOSUSFL1,2016-06-17,ZZ,6:45,1,2641-96761,NA,NA,F,NA
KENTADAFL1,2016-04-18,ZZ,NA,noData,2661-07672,NA,NA,T,NA
KENTADAFL1,2016-04-26,ZZ,NA,noData,2710-25711,NA,NA,T,NA
KENTADAFL1,2016-04-26,ZZ,NA,noData,2531-99395,NA,NA,T,NA
KENTADAFL1,2016-04-26,ZZ,NA,noData,2661-31343,NA,NA,T,NA
KENTADAFL1,2016-04-26,ZZ,NA,noData,1991-18077,NA,NA,T,NA
KENTADAFL1,2016-04-26,ZZ,NA,noData,2541-40420,NA,NA,T,NA
KNOWMIKFL1,2016-04-05,ZZ,NA,noData,2710-54212,NA,NA,T,NA
KNOWMIKFL1,2016-04-05,ZZ,NA,noData,2661-07689,NA,NA,T,NA
KNOXMIKFL1,2016-04-05,ZZ,NA,NA,2710-54212,NA,NA,I,NA
KNOXMIKFL1,2016-04-05,ZZ,NA,1,2661-07689,NA,NA,F,NA
KRATANDFL1,2016-05-12,ZZ,NA,noData,2331-09368,NA,NA,T,NA
LAMMLAUFL1,2016-06-02,ZZ,7:45,1,2661-07818,NA,NA,F,NA
LAUESARFL1,2016-04-23,ZZ,NA,noData,2641-96733,NA,NA,T,NA
LAUESARFL1,2016-04-23,ZZ,NA,noData,2541-37599,NA,NA,T,NA
LICHJERFL1,2016-05-15,ZZ,NA,noData,2661-07857,NA,NA,T,NA
MILLKARFL1,2016-04-20,ZZ,NA,noData,2541-37514,NA,NA,T,NA
MILLKARFL1,2016-06-08,ZZ,7:14,1,2661-07754,NA,NA,F,NA
MILLKARLFL1,2016-06-11,ZZ,7:14,1,2661-07754,NA,NA,F,NA
NATUAREFL1,2016-04-28,ZZ,7:45,noData,2661-31373,NA,NA,T,NA
NATUAREFL1,2016-04-28,ZZ,8:30,noData,2661-31375,NA,NA,T,NA
NOSSANDFL1,2016-05-05,ZZ,7:20,noData,2661-07824,NA,NA,T,NA
NOSSANDFL1,2016-05-05,ZZ,8:20,noData,2661-07825,NA,NA,T,NA
PLACGIRFL1,2016-04-03,ZZ,NA,noData,2641-96774,NA,NA,T,NA
