siteID,region
WALNCRENC1,Raleigh
WALNCRENC1,Raleigh
WALTANNNC1,Raleigh
WANGMATNC1,Raleigh
WHEEJENNC1,Raleigh
WILLAMBNC1,Raleigh
WILLCAINC1,Raleigh
WOLFMARNC1,Raleigh
WOUKKARNC1,Raleigh
AKREMICMA1,Springfield
AKREMICMA2,Springfield
AMESBURMA1,Springfield
ANDEHALMA1,Springfield
ARCADIAMA1,Springfield
ATHEJIMMA1,Springfield
BAKENANMA1,Springfield
BARDBARMA1,Springfield
BARSTINMA1,Springfield
BELMMELMA1,Springfield
BENNBILMA1,Springfield
BESWMICMA1,Springfield
BLECLANMA1,Springfield
BLONDAVMA1,Springfield
BODKANNMA1,Springfield
BOUDLYNMA1,Springfield
BOWEJOHMA1,Springfield
BOYLCOLMA1,Springfield
BRIDNATMA1,Springfield
BRODDORMA1,Springfield
BROOBOBMA1,Springfield
BULLTHOMA1,Springfield
BURGMARMA1,Springfield
BURNNIKMA1,Springfield
CALLEVEMA1,Springfield
CALVCARMA1,Springfield
CANCYOLMA1,Springfield
CANNANNMA1,Springfield
CASEWENMA1,Springfield
CHARANDMA1,Springfield
CHICOBGMA1,Springfield
CHILDPSMA1,Springfield
CLARBRYMA1,Springfield
CODYMELMA1,Springfield
CONZBRIMA1,Springfield
COURAUDMA1,Springfield
CUSHTANMA1,Springfield
DAVIJUDMA1,Springfield
DAVILAUMA1,Springfield
DELUBILMA1,Springfield
DOPPJANMA1,Springfield
DOYLPHIMA1,Springfield
DROLBARMA1,Springfield
FORESPAMA1,Springfield
ELLIBARMA1,Springfield
EMERSWPMA1,Springfield
ESPIJUDMA1,Springfield
FAERHOWMA1,Springfield
FEINLISMA1,Springfield
FORDSUSMA1,Springfield
FORTJOAMA1,Springfield
FORTMARMA1,Springfield
GAIEMELMA1,Springfield
GIARORCMA1,Springfield
GILLESMA1,Springfield
GIRLSINMA1,Springfield
GOLDBETMA1,Springfield
GOODNANMA1,Springfield
GREERICMA1,Springfield
GRIFRACMA1,Springfield
GRUBBECMA1,Springfield
GUISKATMA1,Springfield
HALALEEMA1,Springfield
HALLJENMA1,Springfield
HAMMSHIMA1,Springfield
